Found path: /home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis.x86_64
Mono path[0] = '/home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis_Data/Managed'
Mono config path = '/home/bobo258/and/environment/Tennis_Linux_NoVis/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
Logging to /home/bobo258/.config/unity3d/Unity Technologies/Unity Environment/Player.log
Number of agents: 2
Size of each action: 2
There are 2 agents. Each observes a state with length: 24
The state for the first agent looks like: [ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -6.65278625 -1.5
 -0.          0.          6.83172083  6.         -0.          0.        ]
[446] Average Score: 0.0000 Cur: 0.0000
[447] Average Score: 0.0000 Cur: 0.0000
[448] Average Score: 0.0000 Cur: 0.0000
[449] Average Score: 0.0000 Cur: 0.0000
[450] Average Score: 0.0000 Cur: 0.0000
[451] Average Score: 0.0000 Cur: 0.0000
[452] Average Score: 0.0000 Cur: 0.0000
[453] Average Score: 0.0000 Cur: 0.0000
[454] Average Score: 0.0000 Cur: 0.0000
[455] Average Score: 0.0000 Cur: 0.0000
[456] Average Score: 0.0000 Cur: 0.0000
[457] Average Score: 0.0000 Cur: 0.0000
[458] Average Score: 0.0000 Cur: 0.0000
[459] Average Score: 0.0000 Cur: 0.0000
[460] Average Score: 0.0000 Cur: 0.0000
[160] actor_loss: 0.01001223735511303, critic_loss: 0.0002377099299337715
[160] actor_loss: -0.06347369402647018, critic_loss: 0.00021166421356610954
[461] Average Score: 0.0000 Cur: 0.0000
[462] Average Score: 0.0000 Cur: 0.0000
[463] Average Score: 0.0000 Cur: 0.0000
[464] Average Score: 0.0000 Cur: 0.0000
[465] Average Score: 0.0000 Cur: 0.0000
[466] Average Score: 0.0000 Cur: 0.0000
[467] Average Score: 0.0000 Cur: 0.0000
[468] Average Score: 0.0000 Cur: 0.0000
[469] Average Score: 0.0000 Cur: 0.0000
[470] Average Score: 0.0000 Cur: 0.0000
[471] Average Score: 0.0000 Cur: 0.0000
[472] Average Score: 0.0000 Cur: 0.0000
[473] Average Score: 0.0000 Cur: 0.0000
[474] Average Score: 0.0000 Cur: 0.0000
[475] Average Score: 0.0000 Cur: 0.0000
[476] Average Score: 0.0000 Cur: 0.0000
[477] Average Score: 0.0000 Cur: 0.0000
[478] Average Score: 0.0000 Cur: 0.0000
[479] Average Score: 0.0000 Cur: 0.0000
[480] Average Score: 0.0000 Cur: 0.0000
[481] Average Score: 0.0000 Cur: 0.0000
[482] Average Score: 0.0000 Cur: 0.0000
[483] Average Score: 0.0000 Cur: 0.0000
[484] Average Score: 0.0000 Cur: 0.0000
[485] Average Score: 0.0000 Cur: 0.0000
[486] Average Score: 0.0000 Cur: 0.0000
